City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,54.93,75,100,17.83,SH,1725840584
1,madingou,-4.1536,13.55,77.85,74,46,2.82,CG,1725840585
2,punta arenas,-53.15,-70.9167,33.91,93,40,19.57,CL,1725840495
3,avarua,-21.2078,-159.775,78.85,73,40,12.66,CK,1725840587
4,college,64.8569,-147.8028,54.07,82,100,4.61,US,1725840588
5,belmonte,-15.8631,-38.8828,71.51,80,10,6.73,BR,1725840589
6,kwangyang,34.9753,127.5892,83.61,72,15,3.42,KR,1725840590
7,puerto natales,-51.7236,-72.4875,36.72,73,61,16.02,CL,1725840591
8,mbanza kongo,-6.267,14.2401,72.93,73,93,5.21,AO,1725840593
9,ribeira grande,38.5167,-28.7,71.78,85,36,10.0,PT,1725840594
10,port-aux-francais,-49.35,70.2167,37.9,90,100,23.94,TF,1725840595
11,gilleleje,56.122,12.3106,69.85,81,100,1.99,DK,1725840596
12,iqaluit,63.7506,-68.5145,41.7,80,20,5.75,CA,1725840588
13,papatowai,-46.5619,169.4708,54.19,60,100,8.63,NZ,1725840598
14,yellowknife,62.456,-114.3525,68.41,65,100,5.01,CA,1725840590
15,kapa'a,22.0752,-159.319,85.48,64,40,10.36,US,1725840601
16,urangan,-25.3,152.9,67.51,82,12,10.02,AU,1725840602
17,burgstadt,50.9167,12.8167,67.05,87,100,10.16,DE,1725840604
18,pizarro,4.9533,-77.366,78.84,88,68,5.35,CO,1725840605
19,waitangi,-43.9535,-176.5597,51.01,82,99,23.17,NZ,1725840606
20,alta,69.9689,23.2717,63.66,80,0,23.0,NO,1725840607
21,taroa,8.7058,171.2275,83.79,75,24,11.36,MH,1725840608
22,nagqu,31.5,92.0,37.09,91,100,1.83,CN,1725840609
23,petropavlovsk-kamchatsky,53.0452,158.6483,55.99,44,75,15.66,RU,1725840610
24,arraial do cabo,-22.9661,-42.0278,71.26,90,0,23.09,BR,1725840611
25,hadibu,12.65,54.0333,77.22,83,10,16.75,YE,1725840612
26,olonkinbyen,70.9221,-8.7187,38.93,91,98,18.63,SJ,1725840613
